policy,bucket,prompt,input_tokens,generated_tokens,prefill_delay_ms,decode_delay_ms,ttft_ms,decode_time_s,total_time_s,tokens_per_sec,ms_per_token,tbt_mean_ms,tbt_p50_ms,tbt_p90_ms,tbt_p95_ms,energy_prefill_j,energy_decode_j,energy_total_j,energy_per_token_mj,avg_power_w,edp,peak_mem_mb,throttle_level
default,medium,Initialization: Create an initial population of candidate solutions (often rando...,168,128,0.0,0.0,506.4025782048702,6.746854517608881,7.253587858751416,17.646439595484967,56.66865514649544,53.124203398002415,51.572397351264954,52.0071629434824,52.65089608728885,36.81114288245048,551.5260616966486,590.3972175091831,4612.478261790493,81.75003806228374,4282.498088765229,4108.47119140625,light
default,medium,Rewrite the documents above (Month 4 and Month 11) and label the months with the...,89,128,0.0,0.0,206.06114715337753,6.385053792968392,6.591196795925498,19.419841944201423,51.49372496816795,50.27547380410311,51.28011852502823,52.07394324243069,59.08046308904876,12.70809728289582,523.355050412247,538.5752361313962,4207.619032276532,82.2184961832061,3549.8553707540773,4092.658203125,light
default,long,You are a partner in a commercial team at a large global law firm based in the U...,787,128,0.0,0.0,158.47106091678143,5.124513011425734,5.283049179241061,24.22843241795979,41.27382171282079,40.349953125898296,40.3401143848896,40.47093614935875,40.516677871346474,8.25483293279726,608.4587729847199,618.4918816803806,4831.967825627974,117.22336018957347,3267.5230278787944,4241.16552734375,light
default,short,write some code that removes whitespace in js,11,128,0.0,0.0,93.27715635299683,5.254415202885866,5.3477556351572275,23.935274670836137,41.77934089966584,41.37280976443779,40.28813727200031,40.539425984025,46.18125110864637,3.1579959766976535,511.688838556787,516.4280447569806,4034.594099663911,97.05392018779342,2761.730986502372,4077.72412109375,light
default,short,compile a list of all pokemon mentioned in any prompt above including the gym le...,55,128,0.0,0.0,162.22956962883472,5.2231356259435415,5.3854636605829,23.767684282572212,42.07393484830391,41.12650599242665,40.71985185146332,40.98181501030922,42.507619969546795,7.99883185163699,509.5095008304706,519.2673473783127,4056.776151393068,96.63593953488372,2796.49542943318,4085.82373046875,light
default,medium,Write a story about a mother taking her toddler daughter to the bathroom after a...,106,128,0.0,0.0,281.8309385329485,5.266172498464584,5.548120001330972,23.070878057665176,43.34468751039822,41.465390561603186,40.64781777560711,40.914418175816536,43.25430076569316,20.70980458625499,508.1315397566576,531.4111605817052,4151.649692044572,96.24444343891405,2948.3328889538634,4095.212890625,light
default,long,"Act as the prompt generator and I will give you the main keywords by: Product, F...",500,128,0.0,0.0,606.6982038319111,5.172592628747225,5.7794183772057295,22.14755735712739,45.15170607191976,40.72854073908855,40.39129242300987,40.55843912065029,40.88700823485851,45.84147665666604,517.9259127730131,566.3090207126802,4424.289224317814,98.51245217391305,3272.936761484244,4178.109375,light
default,long,"Tables:
CREATE TABLE `crm\_account` (
 `CustomerID` varchar(255) NOT NULL,
 `Cus...",1052,128,0.0,0.0,182.3291815817356,5.128135005012155,5.31052859313786,24.103062012583564,41.488504633889534,40.37848824825813,40.35565443336964,40.5094426125288,40.59375524520874,12.339934315072373,625.0252008863074,642.0893995299525,5016.323433827754,120.81050000000003,3409.834115554532,4294.86083984375,light
default,medium,Write me a story about Jack and Phil on a construction site. Jack is having a ba...,103,128,0.0,0.0,274.6722847223282,5.335381135344505,5.6101742051541805,22.815690800190094,43.829485977767035,42.01034328892944,40.555864572525024,40.880392119288445,47.98087477684017,15.52132565061562,514.667391654035,532.2230273733437,4157.992401354248,95.11490625,2985.8638995590004,4094.6611328125,light
default,short,generate the job descriptions for the developers respectively,9,128,0.0,0.0,96.58262692391872,5.216441344469786,5.31308657489717,24.09145761049025,41.50848886638414,41.073809575846816,40.39330221712589,40.80183915793896,42.350603081285946,3.2237809576671568,518.2536607991132,523.058473068471,4086.3943208474298,98.78107547169809,2779.0549511463064,4077.35595703125,light
