bucket,prompt,input_tokens,generated_tokens,ttft_ms,decode_time_s,total_time_s,tokens_per_sec,ms_per_token,tbt_mean_ms,tbt_p50_ms,tbt_p90_ms,tbt_p95_ms,energy_prefill_j,energy_decode_j,energy_total_j,energy_per_token_mj,avg_power_w,edp,peak_mem_mb,model
short,Why do IT companies file patents on software?,11,128,99.83351081609726,6.078839525580406,6.17874825373292,20.716170127609292,48.271470732288435,47.86429765421575,51.218390464782715,51.654041558504105,52.16115787625313,8.977608971033368,544.6940328839756,550.3255539855827,4299.418390512365,89.92580645161293,3400.323055673021,4078.18896484375,Mistral-7B
long,"Part 8 The builder relied on an amended Notice of Appeal dated 27 October 2021, although leave to am...",798,128,114.90107700228691,5.157930187880993,5.272896386682987,24.275083486046036,41.19450302096084,40.61309673537419,40.60688242316246,40.71463495492935,40.86490087211132,3.3190743164755405,602.7256796162371,609.3676296712849,4760.6846068069135,116.05092452830189,3213.132372655295,4244.09033203125,Mistral-7B
long,"Can you give step by step explanation for the below given code:

# https://deeplearningcourses.com/c...",528,128,105.53354024887085,5.15540811046958,5.26100442931056,24.329954806134623,41.10159710398875,40.593247714005116,40.57689011096954,40.7081164419651,40.75651243329048,3.1682696926966307,576.5056402173918,582.8556644425933,4553.55987845776,112.05760952380952,3066.406232281233,4191.87060546875,Mistral-7B
long,"“list up” stage : 1. The ""listed"" contents have numbers. 2. Look at the title of the subject and lis...",279,128,480.89273646473885,5.395936049520969,5.876993618905544,21.77984328385864,45.914012647699565,42.48714103825449,40.83431884646416,41.08466058969498,41.193071752786636,43.84740811940283,578.1020535461715,629.4109176686145,4917.272794286051,107.75016101694915,3699.0439468079303,4131.66943359375,Mistral-7B
long,"-- LABORATION 1 - INSTRUKTIONER --
-- 1. Skapa en vy (MovieGenre) som listar alla filmer och deras g...",1110,128,143.9981609582901,5.174691870808601,5.318753615021706,24.065788578453947,41.552762617357075,40.74507288810775,40.751609951257706,40.873295813798904,40.914689004421234,6.144805253192782,607.493016833095,621.0065028035679,4851.613303152873,116.53769158878508,3302.9805817384636,4308.46875,Mistral-7B
short,what is git flow,5,128,94.86999735236168,5.415037270635366,5.509979426860809,23.230576756059726,43.04671427235007,42.63754678875443,40.56382551789284,41.21442958712578,47.735805436968796,9.474544167038328,539.5080161774177,543.7584100190569,4248.112578273882,99.86870909090912,2996.097652387548,4077.08447265625,Mistral-7B
long,"Here is some information about a product. 

A belt bag specifically for portable, battery opearted b...",499,128,608.6553558707237,5.224715285003185,5.833537198603153,21.942090303401123,45.574509364087135,41.13895821524417,40.82312062382698,41.01877734065056,41.2212498486042,51.326803108692175,531.3888014973924,587.5203280136454,4590.002562606605,101.39858974358974,3427.3216884031267,4178.68359375,Mistral-7B
long,"create text based rtf for mindmeister below:
Competitive analysis and market differentiation:
a. Con...",773,128,119.77013573050499,5.14617220684886,5.266016352921724,24.30679880608085,41.14075275720097,40.520518020851405,40.50701484084129,40.63994362950325,40.702882409095764,7.8559983939360825,579.7555479159598,600.2322586283947,4689.3145205343335,115.36544761904763,3160.832889488268,4237.76220703125,Mistral-7B
long,"Introducing Our Domain
Steve and I both have a love for animals. In fact, Steve's wife, Michelle, is...",527,128,99.17808324098587,5.160942975431681,5.260183863341808,24.33375017402553,41.09518643235788,40.636814837380655,40.56065157055855,40.888841450214386,40.93800075352192,11.286968375112613,588.0376385181008,591.689442992125,4622.573773375977,113.80506666666666,3112.3952601368787,4191.81201171875,Mistral-7B
long,"import { catchError, from, map, mergeAll, mergeMap, Observable, of, pipe, Subscription } from 'rxjs'...",1117,128,140.7572217285633,5.195312604308128,5.336135175079107,23.98739833237122,41.688556055305526,40.907444271046344,40.8821627497673,41.057831794023514,41.13091304898262,6.405378645215183,606.1260496903528,615.7320929915253,4810.4069764962915,115.5323738317757,3285.629679837158,4309.58203125,Mistral-7B
