policy,bucket,prompt,input_tokens,generated_tokens,alpha,ttft_ms,decode_time_s,total_time_s,tokens_per_sec,ms_per_token,tbt_mean_ms,tbt_p50_ms,tbt_p90_ms,tbt_p95_ms,tbt_max_ms,energy_prefill_j,energy_decode_j,energy_total_j,energy_per_token_mj,avg_power_w,edp,peak_mem_mb,delay_mean_ms,delay_max_ms,delay_min_ms,delay_std_ms,compute_mean_ms,slack_mean_ms,slo_violations
default,medium,Initialization: Create an initial population of candidate solutions (often rando...,140,128,,238.07482793927193,5.767744570970535,6.005940675735474,21.312231823589467,46.92141152918339,45.414790804461234,47.02284559607506,47.259217500686646,47.531046345829964,59.02553349733353,15.955491882009433,545.311293536339,562.9555587722455,4398.090302908167,94.52755230125523,3381.077689061621,5459.43505859375,0.0,0.0,0.0,0.0,45.318392083400816,34.681607916599184,0
default,medium,Rewrite the documents above (Month 4 and Month 11) and label the months with the...,82,128,,107.46120288968086,4.816227290779352,4.9237521924078465,25.9964342229426,38.4668140031863,37.92253820093598,37.26548328995705,37.41175979375839,37.7810075879097,105.13244569301605,5.724269760832191,551.5670439933631,559.2053954440597,4368.792151906717,114.2403673469388,2753.3887918239857,5451.5400390625,0.0,0.0,0.0,0.0,37.844208252476896,42.155791747523104,1
default,long,You are a partner in a commercial team at a large global law firm based in the U...,662,128,,460.3644460439682,4.956646166741848,5.417222663760185,23.628343884826222,42.32205206062645,39.02819714560284,37.333838641643524,38.27960640192032,38.912226259708405,183.54889005422592,31.27822259184532,551.6593769339229,584.6430474166498,4567.523807942576,108.29364351851854,3167.141566675296,5544.6943359375,0.0,0.0,0.0,0.0,38.94045274323366,41.05954725676634,1
default,short,write some code that removes whitespace in js,8,128,,156.59363940358162,4.726741850376129,4.883404389023781,26.2112227051481,38.15159678924829,37.21789540502969,37.1149480342865,37.40309551358223,37.608661502599716,40.35067930817604,9.494589729726314,565.2068991937432,577.9300845732259,4515.078785728328,118.59924102564102,2822.266311553776,5442.75830078125,0.0,0.0,0.0,0.0,37.14010934895418,42.85989065104582,0
default,short,compile a list of all pokemon mentioned in any prompt above including the gym le...,46,128,,111.86525598168373,4.752245161682367,4.86417043581605,26.314867393935337,38.00133152981289,37.4187441968073,36.973875015974045,37.2964508831501,37.43075802922249,67.71645694971085,5.511761343516409,536.9566574078835,544.4738205334208,4253.701722917351,112.34946391752578,2648.4134609144794,5447.98974609375,0.0,0.0,0.0,0.0,37.33976126655819,42.66023873344181,0
default,medium,Write a story about a mother taking her toddler daughter to the bathroom after a...,94,128,,98.97692129015923,4.752806395292282,4.851850528270006,26.38168658621892,37.90508225210942,37.42317245231839,37.25084289908409,37.41460591554642,37.4911155551672,50.4855141043663,3.485308460839093,550.1803006004841,555.4065921157785,4339.114000904519,115.23697409326425,2694.749767361584,5453.6142578125,0.0,0.0,0.0,0.0,37.34569298470114,42.65430701529886,0
default,long,"Act as the prompt generator and I will give you the main keywords by: Product, F...",408,128,,349.95007887482643,4.902747433632612,5.2528840228915215,24.36756635824993,41.03815642884001,38.60379840562663,37.316687405109406,37.8787137567997,38.38479071855544,110.33578589558601,27.58422373669036,587.4345143322889,617.7330662421398,4826.039580016717,118.23342583732058,3244.880154075126,5500.92333984375,0.0,0.0,0.0,0.0,38.52227685137058,41.47772314862942,1
default,long,"Tables:
CREATE TABLE `crm\_account` (
 `CustomerID` varchar(255) NOT NULL,
 `Cus...",881,128,,593.038085848093,4.76953050494194,5.362789947539568,23.86817332995226,41.896796465152875,37.55485853106957,37.34475374221802,37.69630491733551,38.03961090743541,55.36841228604317,59.25115119896085,571.1186350896637,633.3325049865599,4947.910195207499,118.43367289719627,3396.4291911919768,5620.66796875,0.0,0.0,0.0,0.0,37.47376022259081,42.52623977740919,0
default,medium,Write me a story about Jack and Phil on a construction site. Jack is having a ba...,95,128,,162.1808186173439,5.0113185457885265,5.173557486385107,24.741196040992826,40.41841786238365,39.45847301501927,37.25402057170868,37.49951124191284,37.781739979982376,270.49126476049423,9.611741333968936,547.8655215719323,559.8100402316395,4373.515939309684,108.78424271844662,2896.2094245939466,5453.697265625,0.0,0.0,0.0,0.0,39.37752568346309,40.62247431653691,1
default,short,generate the job descriptions for the developers respectively,8,128,,86.38547733426094,4.765475537627935,4.851931069046259,26.381248657178652,37.9057114769239,37.52291979869519,36.98335215449333,37.24481910467148,37.82504312694073,69.99584287405014,3.4779619580395513,549.9166113881022,555.1435239597968,4337.058780935912,115.15932642487047,2693.518111680364,5442.75830078125,0.0,0.0,0.0,0.0,37.443005105876544,42.556994894123456,0
